id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2325304,Lubbock,33.5927780,-101.8983340,150,3228,3180.81,98.80999999999995,47.190000000000055,12,8,2014
2325318,Lubbock,33.5847220,-101.8872220,200,3226,3186.38,106.38000000000011,39.61999999999989,3,17,2009
2325319,Lubbock,33.5988890,-101.8855560,172,3221,3177.64,111.53999999999996,43.36000000000013,3,1,2013
2325401,Lubbock,33.5819440,-101.9761110,208,3304,3167.95,65.94999999999982,136.05000000000018,12,8,2014
2325504,Lubbock,33.5633340,-101.9397220,140,3266,3209.64,44.33999999999969,56.36000000000013,2,4,2016
2325508,Lubbock,33.5438890,-101.9277780,113,3253,3223.56,-5.7400000000002365,29.440000000000055,12,20,2013
2325611,Lubbock,33.5688890,-101.9152780,115,3240,3217.74,3.7399999999997817,22.26000000000022,1,17,2003
2325613,Lubbock,33.5722220,-101.9033340,119,3217,3199.08,92.77999999999975,17.920000000000073,12,20,2013
2325614,Lubbock,33.5802780,-101.9163890,127,3244,3198.74,87.53999999999996,45.26000000000022,1,29,2014
2325704,Lubbock,33.5411110,-101.9894450,175,3295,3166.96,49.86000000000013,128.03999999999996,1,18,2007
2325705,Lubbock,33.5052780,-101.9663890,142,3279,3195.72,75.31999999999971,83.2800000000002,12,8,2014
2325803,Lubbock,33.5400000,-101.9572230,150,3268,3206.2,82.69999999999982,61.80000000000018,12,23,2013
2325804,Lubbock,33.5244440,-101.9180550,135,3250,3223.57,118.57000000000016,26.429999999999836,1,23,2013
2325904,Lubbock,33.5116670,-101.8858340,108,3229,3193.93,91.32999999999993,35.070000000000164,12,19,2014
2325906,Lubbock,33.5361110,-101.9050010,105,3228,3220.25,79.75,7.75,1,8,2001
2325907,Lubbock,33.5202780,-101.8972220,100,3225,3213.75,104.15000000000009,11.25,1,7,2000
2325908,Lubbock,33.5358340,-101.9052780,107,3228,3215.75,75.25,12.25,12,31,2015
2325909,Lubbock,33.5305550,-101.9025010,106,3232,3216.65,106.45000000000027,15.349999999999909,1,23,2013
2325910,Lubbock,33.5283330,-101.8952780,110,3227,3208.82,98.62000000000035,18.179999999999836,12,20,2013
2325911,Lubbock,33.5208330,-101.8972220,127,3225,3208.93,99.32999999999993,16.070000000000164,1,23,2013
